BE1,Belgium
BE2,Belgium
BE3,Belgium
BE4,Belgium
BE5,Belgium
BE6,Belgium
BE7,Belgium
BE8,Belgium
BE9,Belgium
DE12,Germany
DE28,Germany
DE32,Germany
DE36,Germany
DE37,Germany
DE38,Germany
DE39,Germany
DE40,Germany
DE9,Germany
DK10,Denmark
DK11,Denmark
DK4,Denmark
DK5,Denmark
DK6,Denmark
DK8,Denmark
DK9,Denmark
EN10,England
EN11,England
EN13,England
EN14,England
EN16,England
EN17,England
EN19,England
EN1,England
EN20,England
EN22,England
EN23,England
EN25,England
EN26,England
EN28,England
EN29,England
EN2,England
EN3,England
EN4,England
EN5,England
EN6,England
EN7,England
EN8,England
ES10,Spain
ES11,Spain
ES13,Spain
ES14,Spain
ES16,Spain
ES17,Spain
ES18,Spain
ES19,Spain
ES20,Spain
ES21,Spain
ES22,Spain
ES23,Spain
ES24,Spain
ES25,Spain
ES26,Spain
ES27,Spain
ES28,Spain
ES29,Spain
ES5,Spain
ES6,Spain
ES7,Spain
ES8,Spain
ES9,Spain
FR10,France
FR11,France
FR12,France
FR13,France
FR14,France
FR16,France
FR17,France
FR18,France
FR19,France
FR20,France
FR21,France
FR22,France
FR23,France
FR24,France
FR25,France
FR26,France
FR27,France
FR28,France
FR29,France
FR30,France
FR31,France
FR32,France
FR33,France
FR44,France
FR47,France
FR4,France
FR5,France
FR6,France
FR7,France
FR8,France
FR9,France
IE1,Ireland
IE2,Ireland
IE4,Ireland
IE5,Ireland
IE6,Ireland
IS1,Iceland
IS2,Iceland
IS3,Iceland
IS4,Iceland
IS5,Iceland
IS6,Iceland
IS7,Iceland
IS8,Iceland
IT10,Italy
IT11,Italy
IT12,Italy
IT13,Italy
IT14,Italy
IT15,Italy
IT16,Italy
IT17,Italy
IT8,Italy
IT9,Italy
NO1,Norwey
NO2,Norwey
NO3,Norwey
NO4,Norwey
NO5,Norwey
NO6,Norwey
NO7,Norwey
NO8,Norwey
PL18,Poland
PL31,Poland
PL76,Poland
PL78,Poland
PT1,Portugal
PT2,Portugal
PT3,Portugal
PT4,Portugal
PT5,Portugal
PT6,Portugal
PT7,Portugal
RS12,Serbia
RS13,Serbia
RS14,Serbia
RS16,Serbia
RS17,Serbia
RS18,Serbia
RS3,Serbia
RS6,Serbia
RS7,Serbia
RS9,Serbia
SC1,Scotland
SC2,Scotland
SC3,Scotland
SC4,Scotland
SC5,Scotland
SC6,Scotland
SC7,Scotland
SC8,Scotland
SC9,Scotland
SE10,Sweden
SE12,Sweden
SE13,Sweden
SE14,Sweden
SE15,Sweden
SE16,Sweden
SE17,Sweden
SE6,Sweden
SE8,Sweden
SI10,Slovenia
SI11,Slovenia
SI8,Slovenia
SI9,Slovenia
TN1,Tunisia
TN2,Tunisia
TN3,Tunisia
WL1,Wales
WL2,Wales
WL3,Wales
WL4,Wales
